Event,Calendar Year,Semester,Academic Year,Type of Event
Registered for Spring 22 D Team,2022,Spring,2021-22,D Teams
1st Mtg Sp22,2022,Spring,2021-22,D Teams
2nd Mtg Sp22,2022,Spring,2021-22,D Teams
3rd Mtg Sp22,2022,Spring,2021-22,D Teams
Registered Leila Brammer Main Talk,2022,Spring,2021-22,Speaker Events
Attended Leila Brammer,2022,Spring,2021-22,Speaker Events
Registered Leila Brammer Faculty Talk,2022,Spring,2021-22,Speaker Events
Attended Leila Brammer DeeP Talk,2022,Spring,2021-22,Speaker Events
Registered Economic Mobility Forum,2022,Spring,2021-22,Forum
Attended Economic Mobility,2022,Spring,2021-22,Forum
Registered fall21 D Team,2021,Fall,2021-22,Forum
1st Mtg fa21,2021,Fall,2021-22,Forum
2nd Mtg fa21,2021,Fall,2021-22,Forum
3rd Mtg fa21,2021,Fall,2021-22,Forum
Registered Free Speech & Inclusion Forum,2021,Fall,2021-22,Forum
Attended Free Speech & Inclusion,2021,Fall,2021-22,Forum
2021 Facilitator Training Program,2021,Fall,2021-22,Training
Housing Forum Spring 2021,2021,Spring,2020-21,Forum
Debra Hawhee Spring 2021,2021,Spring,2020-21,Speaker Events
Hawhee - Scholar-Athlete Spr21,2021,Spring,2020-21,Speaker Events
Hawhee - Imagining Our Shared Future Spr21,2021,Spring,2020-21,Speaker Events
Reforming the Supreme Court Spring 2021,2021,Spring,2020-21,Forum
Future of Democracy Fall 2020,2020,Fall,2020-21,Forum
Voting Forum Fall 2020,2020,Fall,2020-21,Forum
The Promise of Deliberation 10/16/20b,2020,Fall,2020-21,Speaker Events
The Promise of Deliberation 10/16/20a,2020,Fall,2020-21,Speaker Events
The Promise of Deliberation 10/15/20,2020,Fall,2020-21,Speaker Events
The Promise of Deliberation 10/14/20,2020,Fall,2020-21,Speaker Events
The Promise of Deliberation Multiple,2020,Fall,2020-21,Speaker Events
Deliberation Nation Fall 2020,2020,Fall,2020-21,Speaker Events
Spring 2021 D Teams,2021,Spring,2020-21,D Teams
Fall 2020 D Team,2020,Fall,2020-21,D Teams
Fall 22 D Team Registrant Lookup,2022,Fall,2022-23,D Teams
Fall 22 D Team Registrant,2022,Fall,2022-23,D Teams
